,vtSymbol,tradeID,direction,offset,volume,dtime,price
1,SR,1,1,买开,1,2015-01-05 22:49:00,4573.0
2,SR,2,-1,卖平,1,2015-01-08 11:11:00,4671.0
3,SR,3,-1,卖开,1,2015-01-08 11:15:00,4663.0
4,SR,4,1,买平,1,2015-01-08 21:02:00,4663.0
5,SR,5,1,买开,1,2015-01-08 22:03:00,4682.0
6,SR,6,-1,卖平,1,2015-01-13 09:01:00,4735.0
7,SR,7,-1,卖开,1,2015-01-13 09:13:00,4726.0
8,SR,8,1,买平,1,2015-01-13 21:01:00,4736.0
9,SR,9,1,买开,1,2015-01-13 21:03:00,4742.0
10,SR,10,-1,卖平,1,2015-01-14 09:55:00,4738.0
11,SR,11,-1,卖开,1,2015-01-14 09:56:00,4725.0
12,SR,12,1,买平,1,2015-01-15 21:07:00,4733.0
13,SR,13,-1,卖开,1,2015-01-15 23:13:00,4701.0
14,SR,14,1,买平,1,2015-01-16 09:01:00,4727.0
15,SR,15,1,买开,1,2015-01-16 09:28:00,4736.0
16,SR,16,-1,卖平,1,2015-01-16 14:55:00,4723.0
17,SR,17,-1,卖开,1,2015-01-16 14:57:00,4713.0
18,SR,18,1,买平,1,2015-01-19 09:01:00,4726.0
19,SR,19,1,买开,1,2015-01-19 10:37:00,4744.0
20,SR,20,-1,卖平,1,2015-01-20 13:42:00,4794.0
21,SR,21,-1,卖开,1,2015-01-20 13:45:00,4792.0
22,SR,22,1,买平,1,2015-01-20 14:46:00,4809.0
23,SR,23,-1,卖开,1,2015-01-20 14:50:00,4804.0
24,SR,24,1,买平,1,2015-01-20 21:21:00,4826.0
25,SR,25,1,买开,1,2015-01-20 21:22:00,4836.0
26,SR,26,-1,卖平,1,2015-01-21 22:53:00,4968.0
27,SR,27,1,买开,1,2015-01-21 23:15:00,5004.0
28,SR,28,-1,卖平,1,2015-01-21 23:20:00,4978.0
29,SR,29,-1,卖开,1,2015-01-22 09:01:00,4965.0
30,SR,30,1,买平,1,2015-01-22 21:03:00,4996.0
31,SR,31,1,买开,1,2015-01-22 21:04:00,5018.0
32,SR,32,-1,卖平,1,2015-01-26 09:01:00,4976.0
33,SR,33,1,买开,1,2015-01-26 23:24:00,5088.0
34,SR,34,-1,卖平,1,2015-01-28 21:13:00,4975.0
35,SR,35,-1,卖开,1,2015-01-28 22:41:00,4981.0
36,SR,36,1,买平,1,2015-01-29 10:09:00,4991.0
37,SR,37,1,买开,1,2015-01-29 11:11:00,5006.0
38,SR,38,-1,卖平,1,2015-01-29 21:02:00,4941.0
